secs_elapsed,interval_qps
1,195526
2,313874
3,307184
4,465809
5,530695
6,329759
7,438673
8,591522
9,631552
10,630778
11,657310
12,660116
13,658900
14,659931
15,657719
16,684789
17,478929
18,70754
19,483448
20,686567
21,710266
22,711219
23,713071
24,635997
25,671632
26,679599
27,693279
28,709892
29,720288
30,729030
31,734343
32,746369
33,747316
34,747588
35,758037
36,771206
37,773289
38,773139
39,772697
40,764736
41,715333
42,740825
43,781876
44,786570
45,786599
46,794083
47,795922
48,795194
49,793123
50,792614
51,798949
52,799025
53,797879
54,799467
55,798326
56,756524
57,795484
58,798865
59,796789
60,797435
61,796610
62,769858
63,698961
64,158557
65,61193
66,157185
67,207285
68,778498
69,784429
70,785248
71,774015
72,771227
73,771255
74,772550
75,728910
76,755336
77,754194
78,754896
79,754733
80,754391
81,736066
82,733635
83,734150
84,734343
85,734617
86,712705
87,710449
88,710488
89,709734
90,712286
91,687965
92,676029
93,685461
94,685370
95,684469
96,655642
97,656530
98,655356
99,656859
100,657367
101,630487
102,626974
103,627426
104,625922
105,626954
106,600113
107,597132
108,597731
109,597180
110,597593
111,563049
112,565994
113,566243
114,567585
115,567335
116,539650
117,538099
118,537419
119,537702
120,538597
121,512309
122,509964
123,509696
124,510161
125,509541
126,487004
127,484617
128,483569
129,483917
130,483672
131,463765
132,460933
133,460472
134,460521
135,461189
136,443296
137,441093
138,440661
139,441594
140,440901
141,424446
142,424855
143,423515
144,424529
145,426150
146,413297
147,412565
148,412974
149,412286
150,412662
151,405507
152,404172
153,404340
154,404390
155,404102
156,401108
157,399899
158,400014
159,400810
160,399753
161,398501
162,399495
163,400903
164,401903
165,400386
166,404253
167,407343
168,405281
169,407234
170,403900
171,412275
172,416102
173,414353
174,415194
175,415320
176,427885
177,428575
178,428905
179,429601
180,428795
181,441351
182,446203
183,447127
184,445701
185,446328
186,464371
187,464725
188,464571
189,467813
190,465896
191,472450
192,489717
193,490280
194,489040
195,490073
196,513406
197,516164
198,516985
199,515440
200,516187
201,541290
202,544173
203,544251
204,544896
205,545589
206,571365
207,571810
208,572851
209,572750
210,570636
211,599104
212,602263
213,603202
214,601595
215,602960
216,631724
217,632524
218,634911
219,634671
220,633591
221,659498
222,662707
223,662032
224,662495
225,662073
226,685856
227,690285
228,689818
229,689924
230,689894
231,710050
232,701918
233,700562
234,716839
235,716850
236,737107
237,739479
238,739776
239,739933
240,739760
241,757316
242,759761
243,759864
244,759785
245,759384
246,773600
247,774820
248,775297
249,731766
250,777853
251,784419
252,787475
253,788066
254,786728
255,789362
256,794447
257,796058
258,792101
259,796560
260,795108
261,798499
262,797873
263,798830
264,740963
265,804343
266,799003
267,797846
268,798718
269,798373
270,794713
271,788996
272,793266
273,794871
274,789737
275,788861
276,785453
277,781664
278,784430
279,783412
280,751097
281,779523
282,768345
283,770436
284,768122
285,764790
286,757832
287,749605
288,746079
289,749427
290,752536
291,731733
292,727280
293,728674
294,729379
295,731603
296,682887
297,707106
298,707052
299,706552
300,705910
301,681958
302,679696
303,679897
304,680094
305,679356
306,656218
307,650998
308,651932
309,653617
310,651124
311,630475
312,620773
313,605074
314,635170
315,623608
316,598508
317,591782
318,594336
319,593209
320,594127
321,568680
322,562526
323,562451
324,562310
325,562600
326,539374
327,533560
328,533237
329,534016
330,532869
331,511096
332,505509
333,506061
334,505619
335,499972
336,489149
337,480751
338,480215
339,479822
340,480873
341,464285
342,456689
343,457178
344,458222
345,457381
346,443810
347,438412
348,437392
349,437375
350,438701
351,426017
352,421574
353,422154
354,422773
355,421519
356,413680
357,410178
358,410528
359,409919
360,410253
361,404854
362,400919
363,403413
364,402537
365,402635
366,399047
367,399901
368,397337
369,400301
370,398775
371,401606
372,398433
373,401040
374,399421
375,399518
376,404931
377,406882
378,409357
379,405522
380,407094
381,410754
382,417472
383,416093
384,415856
385,415980
386,425961
387,432953
388,430377
389,431289
390,430770
391,434042
392,450167
393,447748
394,447923
395,448665
396,462462
397,469573
398,469860
399,469357
400,469775
401,486765
402,495054
403,495187
404,494839
405,494787
406,460697
407,521839
408,521134
409,521313
410,521451
411,541146
412,549835
413,549732
414,549529
415,549975
416,569466
417,579920
418,579042
419,579140
420,579505
421,599782
422,609144
423,609091
424,608838
425,608897
426,625837
427,638544
428,636416
429,639464
430,637730
431,653911
432,667069
433,667472
434,666280
435,643201
436,693991
437,694438
438,694868
439,694670
440,694652
441,706702
442,719626
443,721622
444,718340
445,720478
446,735091
447,742787
448,741345
449,740848
450,741133
451,751845
452,746757
453,747236
454,761851
455,762163
456,772397
457,777307
458,777758
459,777762
460,776194
461,783738
462,786572
463,792282
464,787663
465,787634
466,794375
467,795529
468,748664
469,796652
470,793786
471,798761
472,799828
473,799539
474,799547
475,799934
476,798658
477,797776
478,798256
479,797496
480,798202
481,793445
482,791748
483,743755
484,794212
485,791279
486,785851
487,781086
488,781232
489,782402
490,781271
491,772983
492,766623
493,767247
494,765943
495,766587
496,755248
497,748059
498,748821
499,722848
500,757676
501,732560
502,727993
503,727859
504,726843
505,726912
506,712409
507,702483
508,702253
509,703384
510,702420
511,686211
512,673029
513,678480
514,674952
515,675968
516,629203
517,648531
518,648121
519,647800
520,647546
521,629890
522,617525
523,617892
524,618699
525,617181
526,600338
527,587692
528,587400
529,588214
530,587727
531,569929
532,558373
533,558327
534,557539
535,558881
536,534471
537,531116
538,529285
539,530168
540,530127
541,513850
542,503251
543,502526
544,503143
545,503069
546,487691
547,477905
548,477845
549,478099
550,477529
551,464891
552,455813
553,455082
554,455949
555,455520
556,444135
557,436570
558,434729
559,438037
560,436196
561,426566
562,421502
563,420683
564,421227
565,421004
566,413265
567,409765
568,409309
569,405638
570,409681
571,406326
572,402786
573,401481
574,404834
575,402361
576,400641
577,399489
578,400540
579,400083
580,397315
581,401741
582,402703
583,399719
584,399758
585,400132
586,404758
587,407154
588,405909
589,407974
590,406393
591,411696
592,417802
593,420374
594,418042
595,417679
596,427036
597,432942
598,431938
599,433930
600,432518
601,443860
602,451698
603,451291
604,451106
605,450217
606,461484
607,470485
608,471805
609,474523
610,473225
611,483910
612,498135
613,498500
614,500241
615,498651
616,511377
617,522520
618,522715
619,522682
620,522453
621,539115
622,552065
623,556564
624,553424
625,554057
626,568017
627,581078
628,586622
629,584753
630,583432
631,598592
632,612623
633,615237
634,616715
635,612334
636,627694
637,643795
638,642771
639,611110
640,644198
641,656370
642,672048
643,671089
644,670731
645,671790
646,684123
647,698332
648,698059
649,699285
650,698493
651,711110
652,723615
653,724038
654,724030
655,723553
656,734222
657,721197
658,746157
659,746075
660,744942
661,755431
662,764968
663,764917
664,764201
665,763109
666,773082
667,780222
668,777636
669,779175
670,778340
671,785590
672,789319
673,790114
674,753027
675,788584
676,793798
677,796915
678,790274
679,798749
680,796368
681,796370
682,794701
683,802116
684,796662
685,800854
686,795321
687,795843
688,769614
689,797997
690,797185
691,794647
692,790264
693,789852
694,791185
695,790794
696,785024
697,779337
698,780455
699,778469
700,778573
701,771931
702,763389
703,764649
704,762414
705,741031
706,758214
707,745870
708,730606
709,749578
710,748951
711,737266
712,722467
713,724933
714,724541
715,723455
716,713285
717,698422
718,697063
719,700367
720,680054
721,684467
722,671065
723,672236
724,672396
725,671615
726,657583
727,643164
728,642596
729,643986
730,643120
731,627430
732,614119
733,613269
734,613542
735,613127
736,599190
737,583254
738,582864
739,583712
740,574131
741,568574
742,554085
743,554484
744,553619
745,554104
746,540904
747,526533
748,526591
749,525794
750,526193
751,512665
752,498916
753,499111
754,499030
755,498560
756,486125
757,474774
758,474410
759,474422
760,474686
761,463437
762,453010
763,452510
764,452688
765,452462
766,443517
767,434108
768,433864
769,434386
770,433898
771,427149
772,418877
773,419115
774,419318
775,418641
776,414418
777,408442
778,408933
779,408449
780,408247
781,405678
782,401674
783,402028
784,401633
785,402040
786,400970
787,398807
788,399384
789,399035
790,397498
791,392613
792,408267
793,400883
794,401989
795,402056
796,408018
797,408459
798,408170
799,408325
800,408592
801,412988
802,419616
803,419762
804,419962
805,418596
806,425439
807,435312
808,434179
809,434312
810,435824
811,441823
812,453574
813,453999
814,452268
815,455407
816,462182
817,476068
818,476049
819,474432
820,476431
821,486413
822,501446
823,501265
824,501438
825,501381
826,512407
827,528707
828,529476
829,529159
830,529569
831,541076
832,557795
833,558563
834,558252
835,557814
836,569627
837,587718
838,587731
839,587573
840,588359
841,599551
842,617520
843,587026
844,620513
845,612410
846,630173
847,636825
848,645885
849,646769
850,646384
851,657583
852,674900
853,675151
854,674169
855,675114
856,684830
857,701070
858,702214
859,702334
860,687144
861,719727
862,727153
863,727681
864,726253
865,727166
866,733397
867,748952
868,748371
869,747040
870,749507
871,754319
872,766408
873,761188
874,770989
875,767385
876,770723
877,780911
878,741456
879,781384
880,780867
881,785707
882,771632
883,791764
884,792363
885,792066
886,795051
887,798158
888,798206
889,798062
890,798597
891,798429
892,763912
893,795894
894,799896
895,799324
896,797839
897,796622
898,797168
899,796204
900,796670
901,793996
902,788470
903,790318
904,788551
905,787009
906,786042
907,777520
908,778588
909,746920
910,780558
911,772226
912,763426
913,755323
914,762331
915,761733
916,756542
917,742944
918,741739
919,742674
920,743079
921,734733
922,721397
923,719020
924,698331
925,720723
926,710918
927,694669
928,696162
929,695062
930,695563
931,684905
932,667308
933,666890
934,668173
935,668909
936,655801
937,639134
938,639405
939,638896
940,639544
941,627289
942,609160
943,595130
944,609788
945,609751
946,597755
947,580050
948,579879
949,578837
950,579526
951,567581
952,549871
953,550909
954,550898
955,550621
956,539148
957,522588
958,522559
959,522585
960,522262
961,511762
962,496101
963,495710
964,495654
965,495541
966,485843
967,471691
968,471234
969,471774
970,471503
971,462507
972,449991
973,450239
974,449980
975,449924
976,442675
977,431550
978,432005
979,431681
980,432405
981,425717
982,417530
983,417895
984,417429
985,417407
986,413485
987,407255
988,407491
989,407163
990,407445
991,402802
992,403727
993,401515
994,401299
995,401760
996,400878
997,400070
998,399751
999,400433
1000,399045
1001,400209
1002,401994
