Linux 4.20.0+ (eternitystorage) 	01/13/24 	_x86_64_	(32 CPU)

22:28:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:28:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:28:10     all    0.03    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.94
22:28:11     all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
22:28:12     all    0.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.94
22:28:13     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:28:14     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:28:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:28:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:28:17     all    0.00    0.00    0.31    0.00    0.00    0.03    0.00    0.00    0.00   99.66
22:28:18     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
22:28:19     all    0.00    0.00    0.75    0.00    0.00    0.03    0.00    0.00    0.00   99.22
22:28:20     all    0.06    0.00    1.66    0.00    0.00    0.03    0.00    0.00    0.00   98.24
22:28:21     all    0.00    0.00    3.15    0.00    0.00    0.28    0.00    0.00    0.00   96.57
22:28:22     all    0.03    0.00    3.66    0.00    0.00    0.28    0.00    0.00    0.00   96.02
22:28:23     all    0.00    0.00    4.03    0.00    0.00    0.32    0.00    0.00    0.00   95.65
22:28:24     all    0.03    0.00    4.15    0.00    0.00    0.41    0.00    0.00    0.00   95.41
22:28:25     all    0.00    0.00    3.93    0.00    0.00    0.50    0.00    0.00    0.00   95.56
22:28:26     all    0.00    0.00    4.30    0.00    0.00    0.31    0.00    0.00    0.00   95.38
22:28:27     all    0.00    0.00    4.09    0.00    0.00    0.31    0.00    0.00    0.00   95.59
22:28:28     all    0.00    0.00    4.15    0.00    0.00    0.28    0.00    0.00    0.00   95.56
22:28:29     all    0.00    0.00    4.03    0.00    0.00    0.35    0.00    0.00    0.00   95.62
22:28:30     all    0.03    0.00    4.15    0.00    0.00    0.22    0.00    0.00    0.00   95.59
