Linux 4.20.0+ (eternitystorage) 	01/13/24 	_x86_64_	(32 CPU)

23:18:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:18:37     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:18:38     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:18:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:18:40     all    0.09    0.03    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.81
23:18:41     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:18:42     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:18:43     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:18:44     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:18:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:18:46     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:18:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:18:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:18:49     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:18:50     all    0.09    0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.84
23:18:51     all    0.03    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.94
23:18:52     all    0.00    0.03    0.31    0.00    0.00    0.03    0.00    0.00    0.00   99.62
23:18:53     all    0.00    0.00    0.25    0.00    0.00    0.03    0.00    0.00    0.00   99.72
23:18:54     all    0.00    0.03    0.38    0.00    0.00    0.00    0.00    0.00    0.00   99.59
23:18:55     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.94
23:18:56     all    0.00    0.03    0.69    0.00    0.00    0.03    0.00    0.00    0.00   99.25
23:18:57     all    0.00    0.03    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
23:18:58     all    0.00    0.00    0.31    0.00    0.00    0.03    0.00    0.00    0.00   99.66
23:18:59     all    0.03    0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.91
23:19:00     all    0.53    0.03    0.22    0.00    0.00    0.00    0.00    0.00    0.00   99.22
23:19:01     all    0.03    0.03    0.38    0.00    0.00    0.00    0.00    0.00    0.00   99.56
23:19:02     all    0.00    0.03    0.28    0.00    0.00    0.00    0.00    0.00    0.00   99.69
23:19:03     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:19:04     all    0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.94
23:19:05     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
23:19:06     all    0.00    0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.94
23:19:07     all    0.22    0.03    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.62
23:19:08     all    0.00    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.66
23:19:09     all    0.00    0.06    0.50    0.00    0.00    0.03    0.00    0.00    0.00   99.41
23:19:10     all    0.06    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   98.68
23:19:11     all    0.00    0.03    1.69    0.00    0.00    0.03    0.00    0.00    0.00   98.24
23:19:12     all    0.00    0.03    1.73    0.00    0.00    0.16    0.00    0.00    0.00   98.09
23:19:13     all    0.00    0.03    2.64    0.00    0.00    0.13    0.00    0.00    0.00   97.20
23:19:14     all    0.00    0.03    2.67    0.00    0.00    0.22    0.00    0.00    0.00   97.07
23:19:15     all    0.00    0.00    2.86    0.00    0.00    0.22    0.00    0.00    0.00   96.92
23:19:16     all    0.00    0.03    2.93    0.00    0.00    0.19    0.00    0.00    0.00   96.85
23:19:17     all    0.00    0.03    3.39    0.00    0.00    0.22    0.00    0.00    0.00   96.36
23:19:18     all    0.00    0.03    3.03    0.00    0.00    0.16    0.00    0.00    0.00   96.78
23:19:19     all    0.00    0.03    3.83    0.00    0.00    0.31    0.00    0.00    0.00   95.83
23:19:20     all    0.06    0.03    3.80    0.00    0.00    0.44    0.00    0.00    0.00   95.67
23:19:21     all    0.00    0.03    3.74    0.00    0.00    0.22    0.00    0.00    0.00   96.00
23:19:22     all    0.00    0.00    3.92    0.00    0.00    0.25    0.00    0.00    0.00   95.83
23:19:23     all    0.00    0.03    3.71    0.00    0.00    0.35    0.00    0.00    0.00   95.92
23:19:24     all    0.00    0.03    3.68    0.00    0.00    0.28    0.00    0.00    0.00   96.01
23:19:25     all    0.00    0.03    4.21    0.00    0.00    0.31    0.00    0.00    0.00   95.45
23:19:26     all    0.00    0.03    3.85    0.00    0.00    0.35    0.00    0.00    0.00   95.78
23:19:27     all    0.00    0.00    3.91    0.00    0.00    0.28    0.00    0.00    0.00   95.81
23:19:28     all    0.00    0.03    3.42    0.00    0.00    0.25    0.00    0.00    0.00   96.29
23:19:29     all    0.03    0.03    3.94    0.00    0.00    0.19    0.00    0.00    0.00   95.81
23:19:30     all    0.06    0.03    3.99    0.00    0.00    0.53    0.00    0.00    0.00   95.38
23:19:31     all    0.03    0.03    3.91    0.00    0.00    0.38    0.00    0.00    0.00   95.65
23:19:32     all    0.00    0.00    3.94    0.00    0.00    0.25    0.00    0.00    0.00   95.81
23:19:33     all    0.00    0.03    3.91    0.00    0.00    0.25    0.00    0.00    0.00   95.81
23:19:34     all    0.00    0.03    4.22    0.00    0.00    0.22    0.00    0.00    0.00   95.53
23:19:35     all    0.00    0.03    4.12    0.00    0.00    0.31    0.00    0.00    0.00   95.54
23:19:36     all    0.00    0.03    4.06    0.00    0.00    0.31    0.00    0.00    0.00   95.59
23:19:37     all    0.00    0.00    4.32    0.00    0.00    0.41    0.00    0.00    0.00   95.27
23:19:38     all    0.00    0.03    3.90    0.00    0.00    0.38    0.00    0.00    0.00   95.69
23:19:39     all    0.00    0.03    4.39    0.00    0.00    0.31    0.00    0.00    0.00   95.27
23:19:40     all    0.06    0.03    4.30    0.00    0.00    0.25    0.00    0.00    0.00   95.35
