Linux 4.20.0+ (eternitystorage) 	01/14/24 	_x86_64_	(32 CPU)

00:28:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:28:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:28:29     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:28:30     all    0.09    0.00    0.16    0.00    0.00    0.06    0.00    0.00    0.00   99.69
00:28:31     all    0.00    0.00    3.02    0.00    0.00    0.95    0.00    0.00    0.00   96.03
00:28:32     all    0.00    0.00    5.85    0.00    0.00    1.01    0.00    0.00    0.00   93.14
00:28:33     all    0.03    0.00    7.26    0.00    0.00    1.08    0.00    0.00    0.00   91.63
00:28:34     all    0.00    0.00    6.30    0.00    0.00    0.80    0.00    0.00    0.00   92.91
00:28:35     all    0.00    0.00    6.47    0.00    0.00    0.79    0.00    0.00    0.00   92.74
00:28:36     all    0.00    0.00    7.10    0.00    0.00    1.01    0.00    0.00    0.00   91.89
00:28:37     all    0.00    0.00    7.02    0.00    0.00    1.05    0.00    0.00    0.00   91.93
00:28:38     all    0.00    0.00    7.28    0.00    0.00    1.23    0.00    0.00    0.00   91.49
00:28:39     all    0.00    0.00    7.41    0.00    0.00    0.95    0.00    0.00    0.00   91.63
00:28:40     all    0.06    0.00    7.29    0.00    0.00    1.05    0.00    0.00    0.00   91.60
00:28:41     all    0.00    0.00    7.37    0.00    0.00    1.01    0.00    0.00    0.00   91.62
00:28:42     all    0.00    0.00    7.39    0.00    0.00    0.95    0.00    0.00    0.00   91.66
00:28:43     all    0.00    0.00    7.18    0.00    0.00    1.01    0.00    0.00    0.00   91.81
00:28:44     all    0.03    0.00    7.00    0.00    0.00    0.92    0.00    0.00    0.00   92.05
00:28:45     all    0.00    0.00    6.81    0.00    0.00    1.11    0.00    0.00    0.00   92.08
00:28:46     all    0.00    0.00    6.96    0.00    0.00    0.92    0.00    0.00    0.00   92.11
00:28:47     all    0.00    0.00    6.74    0.00    0.00    0.83    0.00    0.00    0.00   92.43
00:28:48     all    0.00    0.00    7.30    0.00    0.00    1.11    0.00    0.00    0.00   91.59
00:28:49     all    0.00    0.00    7.46    0.00    0.00    0.94    0.00    0.00    0.00   91.60
00:28:50     all    0.06    0.00    6.53    0.00    0.00    1.27    0.00    0.00    0.00   92.13
00:28:51     all    0.00    0.00    6.48    0.00    0.00    0.92    0.00    0.00    0.00   92.60
00:28:52     all    0.00    0.00    6.05    0.00    0.00    0.99    0.00    0.00    0.00   92.97
