Linux 4.20.0+ (eternitystorage) 	01/14/24 	_x86_64_	(32 CPU)

16:11:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:11:05     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
16:11:06     all    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
16:11:07     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:08     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
16:11:09     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:10     all    0.09    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.84
16:11:11     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:13     all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
16:11:14     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:17     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
16:11:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:11:19     all    0.00    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.87
16:11:20     all    0.03    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.34
16:11:21     all    0.00    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.41
16:11:22     all    0.00    0.00    0.59    0.00    0.00    0.03    0.00    0.00    0.00   99.37
16:11:23     all    0.00    0.00    0.72    0.00    0.00    0.00    0.00    0.00    0.00   99.28
16:11:24     all    0.03    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.41
16:11:25     all    0.00    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   99.53
16:11:26     all    0.00    0.00    0.47    0.00    0.00    0.03    0.00    0.00    0.00   99.50
16:11:27     all    0.00    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.37
16:11:28     all    0.00    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   99.62
16:11:29     all    0.00    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   99.31
16:11:30     all    0.06    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.37
16:11:31     all    0.00    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.41
16:11:32     all    0.00    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   99.53
16:11:33     all    0.03    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.44
16:11:34     all    0.00    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.37
16:11:35     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
16:11:36     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
16:11:37     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
16:11:38     all    0.00    0.00    0.56    0.00    0.00    0.03    0.00    0.00    0.00   99.41
16:11:39     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
16:11:40     all    0.03    0.00    0.56    0.00    0.00    0.03    0.00    0.00    0.00   99.37
16:11:41     all    0.03    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   99.50
16:11:42     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
16:11:43     all    0.00    0.00    0.59    0.00    0.00    0.03    0.00    0.00    0.00   99.37
16:11:44     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
16:11:45     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
16:11:46     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
16:11:47     all    0.00    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.41
16:11:48     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
16:11:49     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
16:11:50     all    0.09    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.28
16:11:51     all    0.00    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.37
16:11:52     all    0.00    0.00    0.63    0.00    0.00    0.03    0.00    0.00    0.00   99.34
16:11:53     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
16:11:54     all    0.03    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.34
16:11:55     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
16:11:56     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
16:11:57     all    0.00    0.00    0.66    0.00    0.00    0.03    0.00    0.00    0.00   99.31
16:11:58     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
16:11:59     all    0.22    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.28
16:12:00     all    0.38    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   98.84
16:12:01     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
16:12:02     all    0.00    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   99.31
16:12:03     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
16:12:04     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
16:12:05     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
16:12:06     all    0.00    0.00    0.47    0.00    0.00    0.03    0.00    0.00    0.00   99.50
16:12:07     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
16:12:08     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
16:12:09     all    0.00    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   99.53
16:12:10     all    0.06    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.40
16:12:11     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
16:12:12     all    0.00    0.00    0.41    0.00    0.00    0.00    0.00    0.00    0.00   99.59
16:12:13     all    0.00    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   99.53
