Linux 4.20.0+ (eternitystorage) 	01/14/24 	_x86_64_	(32 CPU)

15:45:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:45:24     all    0.00    0.00    0.19    0.00    0.00    0.03    0.00    0.00    0.00   99.78
15:45:25     all    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
15:45:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:45:27     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
15:45:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:45:29     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
15:45:30     all    0.09    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.84
15:45:31     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
15:45:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:45:33     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:45:34     all    0.03    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.94
15:45:35     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:45:36     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
15:45:37     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:45:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:45:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:45:40     all    0.06    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.59
15:45:41     all    0.00    0.00    0.72    0.00    0.00    0.03    0.00    0.00    0.00   99.25
15:45:42     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
15:45:43     all    0.00    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   99.31
15:45:44     all    0.03    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.40
15:45:45     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
15:45:46     all    0.00    0.00    0.69    0.00    0.00    0.03    0.00    0.00    0.00   99.28
15:45:47     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
15:45:48     all    0.00    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   99.56
15:45:49     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
15:45:50     all    0.06    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   99.25
15:45:51     all    0.00    0.00    0.59    0.00    0.00    0.03    0.00    0.00    0.00   99.37
15:45:52     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
15:45:53     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
15:45:54     all    0.00    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.41
15:45:55     all    0.00    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   99.53
15:45:56     all    0.00    0.00    0.56    0.00    0.00    0.03    0.00    0.00    0.00   99.41
15:45:57     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
15:45:58     all    0.00    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.41
15:45:59     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
15:46:00     all    0.09    0.00    0.63    0.00    0.00    0.03    0.00    0.00    0.00   99.25
15:46:01     all    0.28    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.09
15:46:02     all    0.00    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   99.56
15:46:03     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
15:46:04     all    0.03    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.37
15:46:05     all    0.00    0.00    0.63    0.00    0.00    0.03    0.00    0.00    0.00   99.34
15:46:06     all    0.00    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.41
15:46:07     all    0.00    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.41
15:46:08     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
15:46:09     all    0.03    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.37
15:46:10     all    0.31    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.06
15:46:11     all    0.00    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.37
15:46:12     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
15:46:13     all    0.00    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.25
15:46:14     all    0.03    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.40
15:46:15     all    0.00    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   99.41
15:46:16     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
15:46:17     all    0.03    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.44
15:46:18     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
15:46:19     all    0.00    0.00    0.63    0.00    0.00    0.03    0.00    0.00    0.00   99.34
15:46:20     all    0.06    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   99.50
15:46:21     all    0.00    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   99.53
15:46:22     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
15:46:23     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
15:46:24     all    0.03    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.31
15:46:25     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
15:46:26     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
15:46:27     all    0.00    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   99.31
15:46:28     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
15:46:29     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
15:46:30     all    0.06    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.28
15:46:31     all    0.00    0.00    0.63    0.00    0.00    0.03    0.00    0.00    0.00   99.34
15:46:32     all    0.03    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.41
15:46:33     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
15:46:34     all    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
15:46:35     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
15:46:36     all    0.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.44
15:46:37     all    0.00    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   99.37
15:46:38     all    0.00    0.00    0.50    0.00    0.00    0.03    0.00    0.00    0.00   99.47
