Linux 4.20.0+ (eternitystorage) 	01/16/24 	_x86_64_	(32 CPU)

00:22:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:22:50     all    0.06    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.81
00:22:51     all    0.03    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.94
00:22:52     all    0.06    0.00    0.25    0.12    0.00    0.00    0.00    0.00    0.00   99.56
00:22:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:54     all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
00:22:55     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.94
00:22:56     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:22:57     all    0.00    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.91
00:22:58     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.94
00:22:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:23:00     all    0.44    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   99.34
00:23:01     all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
00:23:02     all    0.03    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.62
00:23:03     all    0.00    0.00    1.10    0.00    0.00    0.06    0.00    0.00    0.00   98.84
00:23:04     all    0.03    0.00    1.51    0.00    0.00    0.09    0.00    0.00    0.00   98.37
00:23:05     all    0.00    0.00    2.68    0.00    0.00    0.09    0.00    0.00    0.00   97.23
00:23:06     all    0.03    0.00    3.42    0.00    0.00    0.31    0.00    0.00    0.00   96.23
00:23:07     all    0.00    0.00    3.51    0.00    0.00    0.35    0.00    0.00    0.00   96.14
00:23:08     all    0.00    0.00    3.76    0.00    0.00    0.22    0.00    0.00    0.00   96.02
00:23:09     all    0.00    0.00    3.61    0.00    0.00    0.22    0.00    0.00    0.00   96.17
00:23:10     all    0.13    0.00    3.67    0.00    0.00    0.22    0.00    0.00    0.00   95.98
00:23:11     all    0.00    0.00    3.34    0.00    0.00    0.16    0.00    0.00    0.00   96.50
00:23:12     all    0.03    0.00    3.49    0.00    0.00    0.19    0.00    0.00    0.00   96.29
00:23:13     all    0.00    0.00    3.18    0.00    0.00    0.28    0.00    0.00    0.00   96.54
00:23:14     all    0.03    0.00    3.09    0.00    0.00    0.19    0.00    0.00    0.00   96.69
00:23:15     all    0.00    0.00    3.51    0.00    0.00    0.28    0.00    0.00    0.00   96.20
00:23:16     all    0.00    0.00    2.96    0.00    0.00    0.22    0.00    0.00    0.00   96.81
00:23:17     all    0.00    0.03    3.09    0.00    0.00    0.13    0.00    0.00    0.00   96.75
00:23:18     all    0.03    0.00    3.36    0.00    0.00    0.25    0.00    0.00    0.00   96.36
00:23:19     all    0.00    0.00    3.48    0.00    0.00    0.31    0.00    0.00    0.00   96.20
00:23:20     all    0.13    0.00    3.27    0.00    0.00    0.38    0.00    0.00    0.00   96.22
00:23:21     all    0.03    0.00    3.09    0.00    0.00    0.16    0.00    0.00    0.00   96.72
00:23:22     all    0.00    0.00    2.96    0.00    0.00    0.25    0.00    0.00    0.00   96.79
00:23:23     all    0.03    0.00    3.28    0.00    0.00    0.16    0.00    0.00    0.00   96.53
00:23:24     all    0.00    0.00    3.58    0.00    0.00    0.25    0.00    0.00    0.00   96.17
00:23:25     all    0.00    0.00    3.42    0.00    0.00    0.25    0.00    0.00    0.00   96.32
00:23:26     all    0.03    0.00    3.18    0.00    0.00    0.25    0.00    0.00    0.00   96.53
00:23:27     all    0.00    0.00    3.46    0.00    0.00    0.13    0.00    0.00    0.00   96.41
00:23:28     all    0.00    0.00    3.30    0.00    0.00    0.31    0.00    0.00    0.00   96.39
00:23:29     all    0.03    0.00    3.25    0.00    0.00    0.19    0.00    0.00    0.00   96.53
