Linux 4.20.0+ (eternitystorage) 	01/16/24 	_x86_64_	(32 CPU)

01:03:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:03:53     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:03:54     all    0.03    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.94
01:03:55     all    0.09    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   99.69
01:03:56     all    0.00    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.91
01:03:57     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:03:58     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.94
01:03:59     all    0.03    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.88
01:04:00     all    0.47    0.00    0.28    0.00    0.00    0.03    0.00    0.00    0.00   99.22
01:04:01     all    0.03    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   99.41
01:04:02     all    0.00    0.00    0.94    0.00    0.00    0.03    0.00    0.00    0.00   99.03
01:04:03     all    0.00    0.00    1.50    0.00    0.00    0.09    0.00    0.00    0.00   98.40
01:04:04     all    0.00    0.00    2.23    0.00    0.00    0.13    0.00    0.00    0.00   97.64
01:04:05     all    0.00    0.00    3.24    0.00    0.00    0.22    0.00    0.00    0.00   96.54
01:04:06     all    0.00    0.00    3.52    0.00    0.00    0.16    0.00    0.00    0.00   96.32
01:04:07     all    0.03    0.00    3.46    0.00    0.00    0.19    0.00    0.00    0.00   96.32
01:04:08     all    0.00    0.00    3.46    0.00    0.00    0.19    0.00    0.00    0.00   96.35
01:04:09     all    0.00    0.00    3.37    0.00    0.00    0.22    0.00    0.00    0.00   96.41
01:04:10     all    0.13    0.00    3.74    0.00    0.00    0.19    0.00    0.00    0.00   95.95
01:04:11     all    0.00    0.00    3.43    0.00    0.00    0.22    0.00    0.00    0.00   96.35
01:04:12     all    0.00    0.00    3.43    0.00    0.00    0.35    0.00    0.00    0.00   96.23
01:04:13     all    0.00    0.00    3.03    0.00    0.00    0.25    0.00    0.00    0.00   96.72
01:04:14     all    0.00    0.00    3.33    0.00    0.00    0.19    0.00    0.00    0.00   96.48
01:04:15     all    0.03    0.00    3.09    0.00    0.00    0.25    0.00    0.00    0.00   96.63
01:04:16     all    0.00    0.00    3.39    0.00    0.00    0.25    0.00    0.00    0.00   96.35
01:04:17     all    0.00    0.00    3.24    0.00    0.00    0.19    0.00    0.00    0.00   96.57
01:04:18     all    0.03    0.00    3.12    0.00    0.00    0.22    0.00    0.00    0.00   96.63
01:04:19     all    0.03    0.00    3.30    0.00    0.00    0.28    0.00    0.00    0.00   96.39
01:04:20     all    0.09    0.00    3.24    0.00    0.00    0.25    0.00    0.00    0.00   96.41
01:04:21     all    0.03    0.00    3.11    0.00    0.00    0.25    0.00    0.00    0.00   96.60
01:04:22     all    0.00    0.00    3.33    0.00    0.00    0.38    0.00    0.00    0.00   96.29
01:04:23     all    0.00    0.00    3.15    0.00    0.00    0.25    0.00    0.00    0.00   96.60
01:04:24     all    0.00    0.00    3.49    0.00    0.00    0.19    0.00    0.00    0.00   96.32
01:04:25     all    0.00    0.00    3.27    0.00    0.00    0.25    0.00    0.00    0.00   96.47
01:04:26     all    0.00    0.00    3.00    0.00    0.00    0.16    0.00    0.00    0.00   96.84
01:04:27     all    0.00    0.00    3.15    0.00    0.00    0.19    0.00    0.00    0.00   96.66
01:04:28     all    0.03    0.00    3.61    0.00    0.00    0.22    0.00    0.00    0.00   96.14
01:04:29     all    0.00    0.00    3.21    0.00    0.00    0.19    0.00    0.00    0.00   96.60
01:04:30     all    0.09    0.00    3.68    0.00    0.00    0.19    0.00    0.00    0.00   96.04
01:04:31     all    0.03    0.00    3.09    0.00    0.00    0.32    0.00    0.00    0.00   96.56
01:04:32     all    0.00    0.00    3.27    0.00    0.00    0.22    0.00    0.00    0.00   96.51
01:04:33     all    0.03    0.00    3.37    0.00    0.00    0.22    0.00    0.00    0.00   96.38
