Linux 4.20.0+ (eternitystorage) 	01/14/24 	_x86_64_	(32 CPU)

15:12:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:12:08     all    0.00    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.84
15:12:09     all    0.00    0.00    1.72    0.00    0.00    0.41    0.00    0.00    0.00   97.88
15:12:10     all    0.09    0.00    0.47    0.00    0.00    0.06    0.00    0.00    0.00   99.37
15:12:11     all    0.00    0.00    0.41    0.00    0.00    0.03    0.00    0.00    0.00   99.56
15:12:12     all    0.00    0.00    0.50    0.00    0.00    0.03    0.00    0.00    0.00   99.47
15:12:13     all    0.03    0.00    0.47    0.00    0.00    0.09    0.00    0.00    0.00   99.41
15:12:14     all    0.00    0.00    0.28    0.00    0.00    0.03    0.00    0.00    0.00   99.69
15:12:15     all    0.00    0.00    0.44    0.00    0.00    0.06    0.00    0.00    0.00   99.50
15:12:16     all    0.00    0.00    0.50    0.00    0.00    0.06    0.00    0.00    0.00   99.44
15:12:17     all    0.00    0.00    0.47    0.00    0.00    0.06    0.00    0.00    0.00   99.47
15:12:18     all    0.00    0.00    0.47    0.00    0.00    0.06    0.00    0.00    0.00   99.47
15:12:19     all    0.00    0.00    0.56    0.00    0.00    0.06    0.00    0.00    0.00   99.38
15:12:20     all    0.09    0.00    0.47    0.00    0.00    0.03    0.00    0.00    0.00   99.41
15:12:21     all    0.00    0.00    0.44    0.00    0.00    0.06    0.00    0.00    0.00   99.50
15:12:22     all    0.03    0.00    0.44    0.00    0.00    0.06    0.00    0.00    0.00   99.47
15:12:23     all    0.00    0.00    0.47    0.00    0.00    0.06    0.00    0.00    0.00   99.47
15:12:24     all    0.00    0.00    0.56    0.00    0.00    0.09    0.00    0.00    0.00   99.34
15:12:25     all    0.00    0.00    0.44    0.00    0.00    0.06    0.00    0.00    0.00   99.50
15:12:26     all    0.00    0.00    0.31    0.00    0.00    0.03    0.00    0.00    0.00   99.66
15:12:27     all    0.00    0.00    0.59    0.00    0.00    0.09    0.00    0.00    0.00   99.31
15:12:28     all    0.00    0.00    0.44    0.00    0.00    0.06    0.00    0.00    0.00   99.50
15:12:29     all    0.00    0.00    0.59    0.00    0.00    0.06    0.00    0.00    0.00   99.34
15:12:30     all    0.06    0.00    0.44    0.00    0.00    0.06    0.00    0.00    0.00   99.44
15:12:31     all    0.03    0.00    0.47    0.00    0.00    0.03    0.00    0.00    0.00   99.47
15:12:32     all    0.00    0.00    0.34    0.00    0.00    0.09    0.00    0.00    0.00   99.56
15:12:33     all    0.00    0.00    0.38    0.00    0.00    0.06    0.00    0.00    0.00   99.56
15:12:34     all    0.03    0.00    0.47    0.00    0.00    0.03    0.00    0.00    0.00   99.47
15:12:35     all    0.00    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.84
15:12:36     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:12:37     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.94
15:12:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:12:39     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:12:40     all    0.06    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.84
15:12:41     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:12:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:12:43     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
15:12:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:12:45     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
15:12:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:12:47     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
