Linux 4.20.0+ (eternitystorage) 	01/13/24 	_x86_64_	(32 CPU)

21:21:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:21:40     all    0.06    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.91
21:21:41     all    0.03    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.94
21:21:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:21:43     all    0.00    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   99.62
21:21:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:21:45     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:21:46     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:21:47     all    0.03    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   99.69
21:21:48     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
21:21:49     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:21:50     all    0.06    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.84
21:21:51     all    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.94
21:21:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:21:53     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
21:21:54     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:21:55     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
21:21:56     all    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
21:21:57     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
21:21:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:21:59     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:22:00     all    0.47    0.00    0.34    0.00    0.00    0.16    0.00    0.00    0.00   99.03
21:22:01     all    0.00    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.25
21:22:02     all    0.00    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   99.22
21:22:03     all    0.00    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   99.31
21:22:04     all    0.00    0.00    0.91    0.00    0.00    0.00    0.00    0.00    0.00   99.09
21:22:05     all    0.00    0.00    1.07    0.00    0.00    0.03    0.00    0.00    0.00   98.90
21:22:06     all    0.00    0.00    1.41    0.00    0.00    0.03    0.00    0.00    0.00   98.56
21:22:07     all    0.00    0.00    1.10    0.00    0.00    0.06    0.00    0.00    0.00   98.84
21:22:08     all    0.00    0.00    1.32    0.00    0.00    0.00    0.00    0.00    0.00   98.68
21:22:09     all    0.00    0.00    1.25    0.00    0.00    0.06    0.00    0.00    0.00   98.68
21:22:10     all    0.09    0.00    1.22    0.00    0.00    0.13    0.00    0.00    0.00   98.56
