Linux 4.20.0+ (eternitystorage) 	01/13/24 	_x86_64_	(32 CPU)

22:14:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:15:00     all    0.50    0.00    0.16    0.00    0.00    0.34    0.00    0.00    0.00   99.00
22:15:01     all    0.03    0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.91
22:15:02     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:03     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:04     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:05     all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
22:15:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:07     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:09     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:10     all    0.09    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.84
22:15:11     all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
22:15:12     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:13     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:14     all    0.00    0.00    0.00    0.00    0.00    0.03    0.00    0.00    0.00   99.97
22:15:15     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:17     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:18     all    0.00    0.00    0.34    0.00    0.00    0.03    0.00    0.00    0.00   99.62
22:15:19     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:20     all    0.09    0.00    0.06    0.00    0.00    0.06    0.00    0.00    0.00   99.78
22:15:21     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:23     all    0.00    0.00    0.53    0.00    0.00    0.03    0.00    0.00    0.00   99.44
22:15:24     all    0.00    0.00    0.28    0.00    0.00    0.03    0.00    0.00    0.00   99.69
22:15:25     all    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:26     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:27     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:28     all    0.00    0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.94
22:15:29     all    0.00    0.00    0.41    0.00    0.00    0.03    0.00    0.00    0.00   99.56
22:15:30     all    0.06    0.00    0.06    0.00    0.00    0.03    0.00    0.00    0.00   99.84
22:15:31     all    0.06    0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.88
22:15:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:33     all    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.97
22:15:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:15:35     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
22:15:36     all    0.00    0.03    0.47    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:15:37     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
22:15:38     all    0.00    0.03    0.62    0.00    0.00    0.00    0.00    0.00    0.00   99.34
22:15:39     all    0.00    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   99.47
22:15:40     all    0.06    0.00    0.78    0.00    0.00    0.06    0.00    0.00    0.00   99.09
22:15:41     all    0.00    0.03    1.06    0.00    0.00    0.03    0.00    0.00    0.00   98.87
22:15:42     all    0.00    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   98.65
22:15:43     all    0.00    0.03    1.54    0.00    0.00    0.03    0.00    0.00    0.00   98.40
22:15:44     all    0.00    0.00    1.69    0.00    0.00    0.06    0.00    0.00    0.00   98.24
22:15:45     all    0.00    0.00    1.91    0.00    0.00    0.06    0.00    0.00    0.00   98.03
22:15:46     all    0.00    0.03    1.57    0.00    0.00    0.06    0.00    0.00    0.00   98.33
22:15:47     all    0.00    0.00    2.57    0.00    0.00    0.09    0.00    0.00    0.00   97.34
22:15:48     all    0.00    0.03    2.14    0.00    0.00    0.09    0.00    0.00    0.00   97.74
22:15:49     all    0.00    0.00    2.01    0.00    0.00    0.13    0.00    0.00    0.00   97.86
22:15:50     all    0.09    0.00    2.38    0.00    0.00    0.19    0.00    0.00    0.00   97.34
22:15:51     all    0.03    0.03    2.11    0.00    0.00    0.06    0.00    0.00    0.00   97.77
22:15:52     all    0.00    0.00    1.95    0.00    0.00    0.16    0.00    0.00    0.00   97.89
22:15:53     all    0.00    0.03    2.04    0.00    0.00    0.09    0.00    0.00    0.00   97.83
22:15:54     all    0.00    0.00    2.01    0.00    0.00    0.13    0.00    0.00    0.00   97.86
22:15:55     all    0.00    0.00    1.92    0.00    0.00    0.13    0.00    0.00    0.00   97.95
22:15:56     all    0.03    0.03    2.01    0.00    0.00    0.13    0.00    0.00    0.00   97.80
22:15:57     all    0.00    0.00    2.26    0.00    0.00    0.13    0.00    0.00    0.00   97.62
22:15:58     all    0.00    0.03    2.07    0.00    0.00    0.13    0.00    0.00    0.00   97.77
22:15:59     all    0.00    0.00    2.17    0.00    0.00    0.09    0.00    0.00    0.00   97.74
22:16:00     all    0.57    0.00    2.23    0.00    0.00    0.13    0.00    0.00    0.00   97.08
22:16:01     all    0.03    0.03    1.95    0.00    0.00    0.06    0.00    0.00    0.00   97.92
22:16:02     all    0.00    0.00    2.07    0.00    0.00    0.13    0.00    0.00    0.00   97.80
22:16:03     all    0.00    0.03    2.07    0.00    0.00    0.09    0.00    0.00    0.00   97.80
22:16:04     all    0.00    0.00    2.01    0.00    0.00    0.16    0.00    0.00    0.00   97.83
22:16:05     all    0.00    0.00    2.17    0.00    0.00    0.13    0.00    0.00    0.00   97.71
22:16:06     all    0.00    0.03    2.23    0.00    0.00    0.16    0.00    0.00    0.00   97.59
22:16:07     all    0.00    0.00    1.89    0.00    0.00    0.13    0.00    0.00    0.00   97.98
22:16:08     all    0.00    0.03    2.07    0.00    0.00    0.06    0.00    0.00    0.00   97.83
22:16:09     all    0.00    0.00    2.17    0.00    0.00    0.13    0.00    0.00    0.00   97.71
22:16:10     all    0.06    0.00    1.98    0.00    0.00    0.25    0.00    0.00    0.00   97.71
22:16:11     all    0.00    0.03    2.26    0.00    0.00    0.06    0.00    0.00    0.00   97.65
22:16:12     all    0.03    0.00    2.14    0.00    0.00    0.06    0.00    0.00    0.00   97.77
22:16:13     all    0.00    0.03    1.83    0.00    0.00    0.09    0.00    0.00    0.00   98.05
22:16:14     all    0.00    0.00    2.20    0.00    0.00    0.16    0.00    0.00    0.00   97.65
22:16:15     all    0.00    0.03    1.95    0.00    0.00    0.09    0.00    0.00    0.00   97.92
22:16:16     all    0.00    0.00    2.08    0.00    0.00    0.03    0.00    0.00    0.00   97.89
22:16:17     all    0.00    0.03    2.16    0.00    0.00    0.06    0.00    0.00    0.00   97.74
22:16:18     all    0.00    0.00    2.29    0.00    0.00    0.09    0.00    0.00    0.00   97.62
22:16:19     all    0.00    0.00    2.26    0.00    0.00    0.09    0.00    0.00    0.00   97.65
22:16:20     all    0.06    0.03    1.98    0.00    0.00    0.25    0.00    0.00    0.00   97.67
22:16:21     all    0.03    0.00    2.23    0.00    0.00    0.06    0.00    0.00    0.00   97.68
22:16:22     all    0.00    0.03    2.23    0.00    0.00    0.19    0.00    0.00    0.00   97.56
22:16:23     all    0.00    0.00    1.98    0.00    0.00    0.06    0.00    0.00    0.00   97.95
